Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,Current List Price,Last Update Date,Plan Universal ID,Period,Period Price,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001WgrLCAS,Northwood Haven,Arbor Homes,Clayton Properties Group,Active,,,Empress,5,2.50,2,2,3198,354995,5/28/2026,aAa3x000000UQjwCAG,10/27/2022,349995.00,Non Active Adult,46122,Danville,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Danville Community School Corp,Danville Middle School; South Elementary School,8; 7,Danville Middle School,8,Danville Community High School,8,,39.77638,-86.49500
aAfPc000000reB7KAI,Abbott Commons/Heritage,Lennar,,Active,,,Halstead,3,2.50,2,3,2596,480995,5/28/2026,aAaPc000000TWRZKA4,8/11/2025,577995.00,Non Active Adult,46037,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.98846,-85.89194
aAfPc000000iAOuKAM,Retreat at Morse,Beazer Homes,,Active,,,Milan,3,2.00,1,2,1764,344990,5/29/2026,aAaPc000000YvlbKAC,5/15/2025,362990.00,Non Active Adult,46062,Noblesville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Noblesville Schools,Hinkle Creek Elementary School,8,Noblesville West Middle School,9,Noblesville High School,10,,40.07285,-86.03676
aAfPc000000WBoLKAW,Sagebriar/Discovery,Del Webb,PulteGroup Inc.,Active,,,Vista,2,2.00,1,2,1622,339990,4/16/2026,aAaPc000000VSsrKAG,10/2/2025,327990.00,Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Clark-Pleasant Com School Corp,Clark Elementary School,6,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.62684,-86.04309
aAfPc000001fCsvKAE,Courtyards of Cielo Ranch,EPCON Communities,,Active,,,Promenade,2,2.00,1,2,2054,571900,4/25/2026,aAaPc000000lPYYKA2,11/15/2025,571900.00,Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Oak Trace Elementary School,9; 8,Westfield Middle School,9,Westfield High School,10,,40.02250,-86.13990
aAfPc000000reB8KAI,Abbott Commons/Venture,Lennar,,Active,,,Davidson,4,3.00,2,2,2170,401995,5/29/2026,aAaPc000000yaUEKAY,3/4/2026,400995.00,Non Active Adult,46037,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.98846,-85.89194
aAfPc000001gqrQKAQ,Westfall Place,Arbor Homes,Clayton Properties Group,Active,,,Ironwood,3,2.50,2,2,1963,282995,5/16/2026,aAaPc000000wGXzKAM,10/6/2025,279995.00,Non Active Adult,46071,Thorntown,Boone,18011,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Western Boone County Com Sch District,,,Western Boone Jr-Sr High School,6,Western Boone Jr-Sr High School,6,,40.12700,-86.62602
aAfPc000001L7hZKAS,Easton/Northern,Lennar,,Active,,,Chapman,3,2.00,1,2,1576,319995,5/7/2026,aAaPc000000elIMKAY,10/11/2025,366995.00,Active Adult,46123,Avon,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,River Birch Elementary; Avon Intermediate School East,8; 6,Avon Middle School North,10,Avon High School,10,,39.76793,-86.43780
aAf3x000000UKz9CAG,Crossroads at Southport,Beazer Homes,,Active,,,Hoover,3,2.00,1,2,1816,299990,4/28/2026,aAa3x000000giidCAA,3/7/2023,347990.00,Non Active Adult,46259,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.66658,-86.01158
aAf3x000001QeGfCAK,Berry Chase,M/I Homes,,Active,,,Glendale Basement,4,2.50,2,2,3152,538490,5/25/2026,aAaPc000000P11tKAC,11/27/2024,519490.00,Non Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Center Grove Com Sch Corp,Sugar Grove Elementary School,6,Center Grove Middle School North,8,Center Grove High School,10,,39.60149,-86.17949
