Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf2T000001MbYBSA0,Waterfront of West Clay/Island,Shoopman Homes,,Active,,,Owl,3,3.50,1,3,2860,998900,5/25/2026,aAa2T000000okihSAA,Non Active Adult,46077,Zionsville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Carmel Clay Schools,West Clay Elementary,9,Creekside Middle School,10,Carmel High School,10,,39.95694,-86.23909
aAf3x000001WTNDCA4,Silo Ridge/SF,M/I Homes,,Active,,,Cheswicke II Basement,3,2.00,1,2,2191,519490,5/13/2026,aAa3x000000ZlZICA0,Non Active Adult,46060,Noblesville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Fall Creek Intermediate School; Deer Creek Elementary,9; 7,Fall Creek Junior High,7,Hamilton Southeastern High School,10,,40.03510,-85.94254
aAfPc000000p28VKAQ,Willow Ridge,Silverthorne Homes,Clayton Properties Group,Active,,,Jefferson,3,2.00,1,2,2241,356995,5/7/2026,aAaPc000000LsHvKAK,Non Active Adult,46163,New Palestine,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,New Palestine Community Schools,New Palestine Elementary School,8,New Palestine Jr High School,8,New Palestine High School,10,,39.72820,-85.88640
aAf3x000001QNemCAG,The Cove,Fischer Homes,,Active,,,Finley,3,2.50,2,0,2457,662990,4/30/2026,aAaPc0000017jtiKAA,Non Active Adult,46040,Fishers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Hamilton Southeastern Jr High School; Southeastern Elementary School,9; 7,Hamilton Southeastern Jr High School,9,Hamilton Southeastern High School,10,,39.96309,-85.89215
aAf3x000001QNelCAG,Hampton Walk/ Maple and Designer,Fischer Homes,,Active,,,Avery,4,2.00,2,2,2535,481990,5/13/2026,aAa3x000000ZrvgCAC,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.88787,-85.91986
aAfPc000000vNZuKAM,Northwest Fortville Venture,Lennar,,Active,,,Springfield,4,3.00,2,2,2329,353995,4/30/2026,aAaPc000000FsQOKA0,Non Active Adult,46040,Fortville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,Fortville Elementary School,7,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.94177,-85.85969
aAfPc000001dpN3KAI,Nickel Row,Onyx+East,,Active,,,Rittenhouse on the Trail,2,2.50,4,2,2190,629900,5/25/2026,aAaPc0000016wLhKAI,Non Active Adult,46038,Fischers,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Hamilton Southeastern Schools,Riverside Intermediate School; Fishers Elementary School,10; 8,Riverside Jr High,8,Fishers High School,10,,39.95304,-86.02074
aAf3x000001QhcyCAC,Cardinal Grove/Express,D.R. Horton,"D.R. Horton, Inc.",Active,,,Harmony,3,2.00,1,2,1503,297900,4/23/2026,aAaPc000000AIIDKA4,Non Active Adult,46221,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,M S D Decatur Township,Gold Academy,4,Decatur Middle School,3,Decatur Central High School,3,,39.67001,-86.27891
aAf3x000001WmjKCAS,Sagebrook West/SF,M/I Homes,,Active,,,Drake Basement,4,2.50,2,3,2884,482490,3/30/2026,aAaPc000000Wdv8KAC,Non Active Adult,46239,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.69289,-85.97854
aAf3x000001WXjRCAW,Cedar Ridge,Fischer Homes,,Active,,,DaVinci,3,2.00,1,2,1730,340990,5/25/2026,aAaPc00000065YPKAY,Non Active Adult,46052,Lebanon,Boone,18011,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Lebanon Community School Corp,Central Elementary School,9,Lebanon Middle School,5,Lebanon Senior High School,9,,40.05570,-86.45563
